circuit_id,n_qubits,gate_count,observable_size,is_projector,is_stabilizer,epsilon,delta,bernstein,n_threads,xi,h_old,h_new,result,requested_shots,variance_shots,variance_hat,std_hat,sigma_max,variance_bound,observable_norm,observable_norm_is_exact,cpu_time_ns,wall_time_ns
56,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.942924208333e+05,40661750975061,37151364,0.000000000000e+00,0,31216882,0.000000000000e+00,0.000000000000e+00,4.565183879743e+02,2.084090385586e+05,1.000000000000e+00,1,5989819154000,262741520331
57,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.769778178866e+06,360598042676658,110635198,-1.038810602372e-17,0,92962581,4.243704079750e-39,1.152899317597e-13,7.878029264237e+02,6.206334508817e+05,1.000000000000e+00,1,18017820870000,772262597961
58,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,2.160293631872e+05,5372931006923,13504782,1.791393139948e-19,0,11347550,9.128364049952e-42,6.526934604710e-16,2.752419271053e+02,7.575811843666e+04,1.000000000000e+00,1,2157650779000,99006415895
59,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,8.010837840640e+05,73882498607616,50078634,1.704793531556e-18,0,42079181,1.013000815323e-40,8.062743393472e-15,5.300259637846e+02,2.809275222858e+05,1.000000000000e+00,1,8176333298000,357653340775
60,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.242577506068e+06,177759437769061,77677992,-1.875981869399e-19,0,65269881,2.720192883701e-41,6.480721184844e-15,6.601154814141e+02,4.357524488026e+05,1.000000000000e+00,1,12824568079000,551144157655
61,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.780126607428e+05,38464526939742,36133658,-7.901295838230e-18,0,30361742,4.418431048428e-39,3.842124134443e-14,4.502221457863e+02,2.026999805564e+05,1.000000000000e+00,1,5914800920000,259420237532
62,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,7.554138139473e+05,65698512654538,47223641,9.139244778127e-18,0,39680237,2.064987616982e-38,1.085534543994e-13,5.146958149177e+02,2.649117818938e+05,1.000000000000e+00,1,7668413639000,332718695379
63,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,1.453371580864e+06,243186252655705,90855486,1.016249512097e-18,0,76342434,9.185623906355e-42,4.404848680169e-15,7.139149939836e+02,5.096746186346e+05,1.000000000000e+00,1,14893510822000,639402229921
64,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,4.534282792118e+05,23670252899368,28345441,2.219962442978e-19,0,23817596,8.086164297972e-42,1.289376893656e-15,3.987608263323e+02,1.590101966172e+05,1.000000000000e+00,1,4556566349000,202283085819
65,64,381,1,1,0,2.000000000000e-01,2.000000000000e-01,1,24,5.942924208333e+05,40661750975061,37151364,0.000000000000e+00,0,31216882,0.000000000000e+00,0.000000000000e+00,4.565183879743e+02,2.084090385586e+05,1.000000000000e+00,1,5990430599000,262607340508
